sample_id,YEAR,DOI,figure_number_of_targetZT,label_of_targetZT_in_figure,figure_label_description,"mat_dimension(bulk, film, 1D, 2D)",GROUP,BASEMAT,Composition_by_element,Composition_detailed,SINTERING
282,2010.0,10.1016/j.actamat.2010.03.025,Figure 8,"x=0.26, y=0.2",YbxCo4Sb12/yGaSb,Bulk,SKD,SKD,YbCoSb GaSb,Yb0.26Co4Sb12 / 0.2GaSb,SPS
283,2008.0,10.1063/1.3027060,Figure 3(d),Nano Sample-1,,Bulk,SiGe,SiGe,SiGe,SiGe nanopowder,HP
284,2008.0,10.1002/adfm.200800298,Figure 6,x=0.8,Yb14Mn1-xAlxSb11,Bulk,SKD,SKD,YbMnAlSb,Yb14Mn0.2Al0.8Sb11,HP
286,2008.0,10.1063/1.2951888,Figure 9,x = 0.5,,Bulk,clathrate,clathrate,YbBaGaGe,Yb0.5Ba7.5Ga16Ge30,SPS
288,2008.0,10.1021/cm802367f,Figure 5(b),CoSb2.75Te0.20Sn0.05,,Bulk,SKD,SKD,CoSbTeSn,CoSb2.75Te0.2Sn0.05,SPS
289,2008.0,10.1063/1.2936277,Figure 4(b),y = 0.3,,Bulk,SKD,SKD,YbCoSb,Yb0.2Co4Sb12.3,SPS
291,2006.0,10.1063/1.2180432,Figure 10,x = 9,,Bulk,HH,ZrNiSn,ZrHfNiPdSnSb ZrO,Zr0.5Hf0.5Ni0.8Pd0.2Sn0.99Sb0.01 ZrO2,SPS
292,2014.0,10.1063/1.4896520,Figure 3(d),ZT across the layer plance (ac),,Bulk,Cu2Q,M2Q,CuSeAl,Cu1.94Al0.02Se,HP
294,2013.0,10.1002/adma.201302660,Figure 1,Cu2Se,,Bulk,Cu2Q,M2Q,CuSe I,Cu2Se1-xIx,SPS
295,2012.0,10.1038/NMAT3273,Figure 2(d),beta-Cu2Se,,Bulk,Cu2Q,M2Q,CuSe,Cu2Se,SPS
296,2015.0,10.1038/am.2015.91,Figure 3(d),833 K,annealed at 833 K,Bulk,Cu2Q,M2Q,CuTe,Cu2Te,SPS
298,2014.0,10.1007/s40243-014-0026-5,Figure 2(f),Cu1.97Ag0.03Se,,Bulk,Cu2Q,M2Q,CuSe Ag,Cu1.97Ag0.03Se,HP
299,2013.0,10.1039/c3ta12508d,Figure 9,Cu2Se,,BUlk,Cu2Q,M2Q,CuSe,Cu2Se,SPS
301,2017.0,10.1002/adma.201605887,Figure 7,x=0.14(1.1E20) 5%Sn excess,Sn0.91Mn0.14Te(Cu2Te ) 0.05,Bulk,Telluride,SnTe,SnMnTeCu,Sn0.89Mn0.14Te(Cu2Te)0.05,HP
302,2017.0,10.1016/j.jallcom.2017.02.295,Figure 4,x=0.01,BixCu1.8-xS,Bulk,Cu2Q,M2Q,BiCuS,Bi0.01Cu1.79S,SPS
312,2022.0,10.1038/s41467-022-33774-z,Figure 5(a),x=0.07 873K,"Sintering T 873 K, x=0.07 (BixGe0.97-xTe)",Bulk,GeTe,GeTe,GeBiTe,Bi0.07Ge0.90Te-873,"SPS 5min, 60 Mpa"
313,2021.0,10.1016/j.apsusc.2021.150873,figure 7(b),a direction 900 K,"p-type single-layer Sb2Si2Te6, a direction, 900 K",2D,Sr2Si2Te6,Sr2Si2Te6,Single-layer Sb2Si2Te6,"Single-layer Sb2Si2Te6, calculation, ",
330,2021.0,10.1038/s41563-021-01064-6,Figure 5,x=0.03,,,Selenide,SnSe,NaSnSe,Na0.03Sn0.965Se purified,
331,2018.0,10.1126/science.aaq1479,Figure 1(a),"n-type SnSe, 1.2E19",,,Selenide,SnSe,BrSnSe,SnSe1-xBrx (x=0-0.03),
332,2019.0,10.1016/j.joule.2019.01.001,Figure 1,parallel to press direction of SPS,,,Selenide,SnSe,SnSePbSe,Na0.01(Sn0.95Pb0.05)0.99Se,
351,2021.0,10.1038/s41467-021-21391-1,Figure 2,"Segmented, n-type Sb0.5 for T<425K, n-type Sb0.5 for T>425K","Segmented, n-type Sb0.5 for T<425K, n-type Sb0.5 for T>425K",,Mg3Sb2,"Mg3(Bi,Sb)2",MgBiSbTe,Mg3.3Bi1.298Sb0.7Te0.002+Mg3.3Bi1.498Sb0.5Te0.002,
352,2021.0,10.1038/s41467-021-21391-1,Figure 2,p-type,p-MgAgSb: MgAg0.97Sb0.99,,HH,MgAgSb,MgAgSb,MgAg0.97Sb0.99,
353,2018.0,10.1038/s41467-018-04958-3,Figure 6(c) ,ZrCoBi0.65Sb0.15Sn0.2,,,HH,ZrCoBi,ZrCoBiSbSn,ZrCoBi0.65Sb0.15Sn0.2,
354,2016.0,10.1038/nnano.2016.182,Figure 3,MNC35,xBaM/Ba0.3In0.3Co4Sb12,,SKD,CoSb3,x%BaFeO-NP / BaInCoSb,0.35%BaFeO-NP / Ba0.3In0.3Co4Sb12,
355,2016.0,10.1038/ncomms12167,Figure 5(a),"Pb0.98Na0.02Te-8% SrTe, non-equilibrium, this study",,,PbTe,PbTe,PbNaTe-8%SrTe,Pb0.98Na0.02Te-8%SrTe,
356,2019.0,10.1038/s41467-019-10476-7 ,Figure 6,Pb0.14,Bi0.86Pb0.14CuSeO,,Oxide,BiCuSeO,BiPbCuSeO,Bi0.86Pb0.14CuSeO,
